"tag_number","row_col"
46,"B4"
46,"E6"
318,"A6"
318,"D5"
746,"C5"
746,"D5"
810,"A5"
810,"D10"
811,"A5"
811,"E9"
812,"B4"
812,"D9"
813,"A5"
813,"A9"
814,"A5"
814,"A8"
816,"A8"
816,"C3"
817,"B7"
817,"C9"
818,"B7"
819,"B7"
819,"B8"
820,"B7"
820,"B8"
821,"B6"
821,"B8"
822,"B6"
822,"D7"
823,"B7"
823,"C7"
824,"B7"
824,"C7"
825,"B7"
826,"B7"
826,"C5"
827,"B9"
827,"C5"
828,"B10"
828,"B5"
829,"A5"
829,"C7"
830,"A5"
830,"C6"
831,"A5"
831,"D9"
832,"A4"
832,"D8"
833,"B4"
833,"D7"
834,"B4"
834,"D7"
835,"D6"
835,"E4"
836,"D1"
836,"D5"
858,"A8"
858,"E9"
859,"A8"
859,"C9"
860,"A8"
860,"A9"
906,"D7"
906,"E7"
1305,"B6"
1305,"B7"
1329,"C8"
1329,"C9"
1366,"B10"
1366,"B8"
1387,"B7"
1387,"D7"
NA,"A1"
NA,"A8"
NA,"B6"
NA,"B7"
NA,"C7"
NA,"D7"
