"plotID","plot","HA_ID_Number","tag_number","row_col"
"FF-7","5754",7662,46,"B4"
"FF-7","5754",7662,46,"E6"
"FF-7","5754",7924,318,"A6"
"FF-7","5754",7924,318,"D5"
"FF-7","5754",8255,746,"C5"
"FF-7","5754",8255,746,"D5"
"FF-7","5754",8318,810,"A5"
"FF-7","5754",8318,810,"D10"
"FF-7","5754",8319,811,"A5"
"FF-7","5754",8319,811,"E9"
"FF-7","5754",8320,812,"B4"
"FF-7","5754",8320,812,"D9"
"FF-7","5754",8321,813,"A5"
"FF-7","5754",8321,813,"A9"
"FF-7","5754",8322,814,"A5"
"FF-7","5754",8322,814,"A8"
"FF-7","5754",8324,816,"A8"
"FF-7","5754",8324,816,"C3"
"FF-7","5754",8325,817,"B7"
"FF-7","5754",8325,817,"C9"
"FF-7","5754",8326,818,"B7"
"FF-7","5754",8327,819,"B7"
"FF-7","5754",8327,819,"B8"
"FF-7","5754",8328,820,"B7"
"FF-7","5754",8328,820,"B8"
"FF-7","5754",8329,821,"B6"
"FF-7","5754",8329,821,"B8"
"FF-7","5754",8330,822,"B6"
"FF-7","5754",8330,822,"D7"
"FF-7","5754",8331,823,"B7"
"FF-7","5754",8331,823,"C7"
"FF-7","5754",8332,824,"B7"
"FF-7","5754",8332,824,"C7"
"FF-7","5754",8333,825,"B7"
"FF-7","5754",8334,826,"B7"
"FF-7","5754",8334,826,"C5"
"FF-7","5754",8335,827,"B9"
"FF-7","5754",8335,827,"C5"
"FF-7","5754",8336,828,"B10"
"FF-7","5754",8336,828,"B5"
"FF-7","5754",8337,829,"A5"
"FF-7","5754",8337,829,"C7"
"FF-7","5754",8338,830,"A5"
"FF-7","5754",8338,830,"C6"
"FF-7","5754",8339,831,"A5"
"FF-7","5754",8339,831,"D9"
"FF-7","5754",8340,832,"A4"
"FF-7","5754",8340,832,"D8"
"FF-7","5754",8341,833,"B4"
"FF-7","5754",8341,833,"D7"
"FF-7","5754",8342,834,"B4"
"FF-7","5754",8342,834,"D7"
"FF-7","5754",8343,835,"D6"
"FF-7","5754",8343,835,"E4"
"FF-7","5754",8344,836,"D1"
"FF-7","5754",8344,836,"D5"
"FF-7","5754",8366,858,"A8"
"FF-7","5754",8366,858,"E9"
"FF-7","5754",8367,859,"A8"
"FF-7","5754",8367,859,"C9"
"FF-7","5754",8368,860,"A8"
"FF-7","5754",8368,860,"A9"
"FF-7","5754",8396,906,"D7"
"FF-7","5754",8396,906,"E7"
"FF-7","5754",8494,1305,"B6"
"FF-7","5754",8494,1305,"B7"
"FF-7","5754",8515,1329,"C8"
"FF-7","5754",8515,1329,"C9"
"FF-7","5754",8546,1366,"B10"
"FF-7","5754",8546,1366,"B8"
"FF-7","5754",8567,1387,"B7"
"FF-7","5754",8567,1387,"D7"
"FF-7","5754",8580,NA,"A1"
"FF-7","5754",8580,NA,"A8"
"FF-7","5754",8580,NA,"B6"
"FF-7","5754",8580,NA,"B7"
"FF-7","5754",8580,NA,"C7"
"FF-7","5754",8580,NA,"D7"
NA,NA,NA,NA,"NANA"
